Plasmids	locus_tag(Term)	protein_id(Term)	E-value_1(Term)	E-value_2(Term)	locus_tag(TMP)	protein_id(TMP)	E-value_1(TMP)	E-value_2(TMP)	locus_tag(MCP)	protein_id(MCP)	E-value_1(MCP)	E-value_2(MCP)	locus_tag(ParA)	protein_id(ParA)	E-value_1(ParA)	E-value_2(ParA)	locus_tag(ParM)	protein_id(ParM)	E-value_1(ParM)	E-value_2(ParM)	locus_tag(XerC)	protein_id(XerC)	E-value_1(XerC)	E-value_2(XerC)
NZ_LYVD01000026.1	-	-	-	-	A9L49_RS27855	WP_080478024.1	7.1e-15	7.1e-15	-	-	-	-	-	-	-	-	-	-	-	-	A9L49_RS32815	WP_080478029.1	4.9e-14	5.7e-14
NZ_LYVD01000026.1	A9L49_RS32865	-	1.6e-05	1.9e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	A9L49_RS32810	WP_080478021.1	7e-10	7e-10
NZ_LYVD01000026.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000026.1	A9L49_RS32865	-	4.3e-05	5.2e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000026.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000026.1	A9L49_RS32865	-	9.1e-12	9.7e-12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000026.1	A9L49_RS32865	-	2e-06	2.1e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000026.1	A9L49_RS32865	-	2.7e-34	3e-34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000026.1	A9L49_RS32865	-	6.2e-05	7.3e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000026.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000026.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000026.1	A9L49_RS32865	-	2e-05	2.3e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000026.1	A9L49_RS32865	-	1.5e-17	1.7e-17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000026.1	A9L49_RS32865	-	6.3e-06	6.8e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000026.1	A9L49_RS32865	-	2.1e-08	2.8e-08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000026.1	A9L49_RS32865	-	6.8e-09	7.8e-09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000025.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_LYVD01000024.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_ABDA02000037.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	BCAH1134_RS30020	WP_001035961.1	2e-09	2.5e-09
NZ_ABDA02000036.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	BCAH1134_RS29790	-	2.3e-14	6e-14
NZ_ABDA02000035.1	-	-	-	-	-	-	-	-	BCAH1134_RS29030	WP_000444115.1	0.00082	0.0011	BCAH1134_RS29670	WP_000375872.1	4.5e-05	0.0021	-	-	-	-	BCAH1134_RS28620	WP_000386617.1	1e-39	2.8e-39
NZ_ABDA02000035.1	BCAH1134_RS29210	-	4.2e-33	5.1e-33	-	-	-	-	-	-	-	-	BCAH1134_RS29670	WP_000375872.1	5.8e-09	1.1e-08	-	-	-	-	BCAH1134_RS28650	WP_033689802.1	1.5e-37	9.4e-36
NZ_ABDA02000035.1	BCAH1134_RS32655	-	0.00043	0.00055	-	-	-	-	-	-	-	-	BCAH1134_RS29670	WP_000375872.1	0.00026	0.0036	-	-	-	-	BCAH1134_RS28830	WP_000369035.1	7.2e-25	1.1e-24
NZ_ABDA02000035.1	-	-	-	-	-	-	-	-	-	-	-	-	BCAH1134_RS29400	WP_000262478.1	1.1e-17	1.9e-15	-	-	-	-	BCAH1134_RS28015	-	6.6e-24	8.5e-24
NZ_ABDA02000035.1	-	-	-	-	-	-	-	-	-	-	-	-	BCAH1134_RS29315	-	3.6e-11	5.2e-11	-	-	-	-	-	-	-	-
NZ_ABDA02000035.1	-	-	-	-	BCAH1134_RS29445	WP_001119732.1	5.2e-07	6.5e-07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_ABDA02000035.1	-	-	-	-	BCAH1134_RS29490	WP_000081390.1	2.5e-06	2.5e-06	-	-	-	-	BCAH1134_RS29670	WP_000375872.1	3.6e-07	2.1e-06	-	-	-	-	-	-	-	-
NZ_ABDA02000035.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_ABDA02000035.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_ABDA02000035.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_ABDA02000035.1	-	-	-	-	-	-	-	-	-	-	-	-	BCAH1134_RS29670	WP_000375872.1	2.1e-07	6.8e-07	-	-	-	-	-	-	-	-
NZ_ABDA02000035.1	-	-	-	-	-	-	-	-	-	-	-	-	BCAH1134_RS29400	WP_000262478.1	1.7e-07	0.012	-	-	-	-	-	-	-	-
NZ_ABDA02000035.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP034552.1	-	-	-	-	-	-	-	-	EJ379_28085	QCX97436.1	0.00018	0.14	-	-	-	-	-	-	-	-	-	-	-	-
MG891800.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PHQW02000016.1	-	-	-	-	-	-	-	-	-	-	-	-	CR195_028875	PYD94814.1	0.00011	0.0047	-	-	-	-	CR195_028765	-	1e-06	1.2e-06
PHQW02000016.1	-	-	-	-	-	-	-	-	-	-	-	-	CR195_028875	PYD94814.1	1.2e-08	2.6e-08	-	-	-	-	-	-	-	-
PHQW02000016.1	-	-	-	-	-	-	-	-	-	-	-	-	CR195_028875	PYD94814.1	0.00011	0.0043	-	-	-	-	-	-	-	-
PHQW02000016.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PHQW02000016.1	-	-	-	-	-	-	-	-	-	-	-	-	CR195_028875	PYD94814.1	1.9e-07	1.2e-06	-	-	-	-	-	-	-	-
PHQW02000016.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PHQW02000016.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PHQW02000016.1	-	-	-	-	-	-	-	-	-	-	-	-	CR195_028875	PYD94814.1	4.7e-07	1.3e-06	-	-	-	-	-	-	-	-
CP026679.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP026679.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP026679.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP026679.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP023183.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016363.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016362.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	BA201_28165	ASK17793.1	3.4e-11	5.2e-11
CP016597.1	BA204_28015	ASJ51935.1	3.6e-06	2.7e-05	BA204_27955	ASJ51888.1	4e-17	4e-17	BA204_27995	ASJ51895.1	0.00034	0.00048	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	BA204_28015	ASJ51935.1	1.1e-13	1.3e-12	BA204_27955	ASJ51888.1	2.5e-47	2.5e-47	BA204_27995	ASJ51895.1	1.4e-82	1.6e-82	BA204_27850	ASJ51869.1	1.5e-16	2.1e-16	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	BA204_27995	ASJ51895.1	0.00089	0.0012	BA204_27850	ASJ51869.1	4.4e-35	5.6e-35	-	-	-	-	-	-	-	-
CP016597.1	BA204_28015	ASJ51935.1	0.00019	0.0016	BA204_27955	ASJ51888.1	1.8e-05	1.8e-05	BA204_27995	ASJ51895.1	3e-14	3.7e-14	BA204_27850	ASJ51869.1	3.4e-17	3.6e-08	-	-	-	-	-	-	-	-
CP016597.1	BA204_28015	ASJ51935.1	0.00018	0.0022	BA204_27955	ASJ51888.1	4.7e-13	4.7e-13	BA204_27995	ASJ51895.1	1.6e-08	1.9e-08	BA204_28035	ASJ51901.1	1.4e-18	9.5e-17	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	6.2e-23	1.3e-19	BA204_27995	ASJ51895.1	0.0001	0.00013	BA204_27850	ASJ51869.1	1.3e-17	1.7e-17	-	-	-	-	-	-	-	-
CP016597.1	BA204_28015	ASJ51935.1	1.3e-148	1.6e-148	BA204_27955	ASJ51888.1	0.00078	0.00078	-	-	-	-	BA204_27850	ASJ51869.1	1.7e-39	2e-39	-	-	-	-	-	-	-	-
CP016597.1	BA204_27955	ASJ51888.1	4.4e-07	4.4e-07	-	-	-	-	-	-	-	-	BA204_27850	ASJ51869.1	3.7e-13	4.3e-13	-	-	-	-	-	-	-	-
CP016597.1	BA204_28020	ASJ51898.1	2.1e-67	5.9e-59	-	-	-	-	-	-	-	-	BA204_27850	ASJ51869.1	3.3e-11	4.6e-11	-	-	-	-	-	-	-	-
CP016597.1	BA204_28015	ASJ51935.1	3.9e-30	5.5e-30	BA204_27955	ASJ51888.1	1.4e-08	1.4e-08	-	-	-	-	BA204_27850	ASJ51869.1	0.00048	0.00093	-	-	-	-	-	-	-	-
CP016597.1	BA204_27955	ASJ51888.1	1.4e-09	1.4e-09	-	-	-	-	-	-	-	-	BA204_27850	ASJ51869.1	7.7e-16	2.4e-15	-	-	-	-	-	-	-	-
CP016597.1	BA204_28015	ASJ51935.1	0.00012	0.00085	BA204_27955	ASJ51888.1	1.2e-07	1.2e-07	-	-	-	-	BA204_27850	ASJ51869.1	3.7e-18	4.8e-18	-	-	-	-	-	-	-	-
CP016597.1	BA204_28015	ASJ51935.1	1.8e-08	0.00014	BA204_27955	ASJ51888.1	1.4e-27	1.4e-27	-	-	-	-	BA204_27850	ASJ51869.1	1.2e-09	2.1e-05	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	7.1e-05	7.1e-05	-	-	-	-	BA204_28035	ASJ51901.1	2.9e-09	1.7e-07	-	-	-	-	-	-	-	-
CP016597.1	BA204_28015	ASJ51935.1	6.8e-33	1.1e-32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	BA204_28015	ASJ51935.1	2.8e-36	8.3e-36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	BA204_28020	ASJ51898.1	5.2e-14	5.2e-14	BA204_27955	ASJ51888.1	3.7e-12	3.7e-12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	BA204_27955	ASJ51888.1	1.3e-12	1.3e-12	BA204_27955	ASJ51888.1	1.1e-08	4.1e-08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	BA204_28015	ASJ51935.1	7.7e-132	8.7e-132	BA204_27955	ASJ51888.1	3.6e-14	3.6e-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	BA204_28015	ASJ51935.1	2.9e-131	3.7e-131	BA204_27955	ASJ51888.1	2.4e-22	2.4e-22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	1.1e-08	1.1e-08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	1.5e-14	1.5e-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	5.7e-07	5.3e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	1.4e-66	1.4e-66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	8.1e-05	8.1e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	0.0005	0.0066	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	4.9e-21	1.5e-19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	5.1e-17	5.1e-17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	4e-06	4e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	3.8e-14	3.8e-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	7.1e-24	7.1e-24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	0.00015	0.00015	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	3.6e-09	5.8e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_28190	ASJ51930.1	1.7e-05	2.2e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	1e-07	7.5e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	6.2e-05	6.2e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	1.2e-17	1.2e-17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	3.4e-07	3.4e-07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	1.5e-06	1.5e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP016597.1	-	-	-	-	BA204_27955	ASJ51888.1	1.7e-43	1.7e-43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020941.1	-	-	-	-	-	-	-	-	-	-	-	-	B2J90_30695	-	4.5e-08	5.4e-08	-	-	-	-	B2J90_30925	ARO21808.1	1.6e-13	2.6e-13
CP020941.1	-	-	-	-	B2J90_30835	ARO21790.1	8.4e-05	0.00012	-	-	-	-	B2J90_30695	-	5.4e-13	6.8e-13	-	-	-	-	-	-	-	-
CP020941.1	-	-	-	-	B2J90_30835	ARO21790.1	1.5e-12	2.1e-12	-	-	-	-	B2J90_30695	-	1.9e-09	2.6e-09	-	-	-	-	-	-	-	-
CP020941.1	-	-	-	-	B2J90_30835	ARO21790.1	2.9e-15	4.5e-15	-	-	-	-	B2J90_30930	ARO21809.1	6.9e-12	1.2e-11	-	-	-	-	-	-	-	-
CP020941.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020941.1	-	-	-	-	B2J90_30835	ARO21790.1	8.9e-06	1.1e-05	-	-	-	-	B2J90_30695	-	2e-07	2.6e-07	-	-	-	-	-	-	-	-
CP020941.1	-	-	-	-	-	-	-	-	-	-	-	-	B2J90_30695	-	4.4e-15	5.7e-15	-	-	-	-	-	-	-	-
CP020941.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020941.1	-	-	-	-	-	-	-	-	-	-	-	-	B2J90_30695	-	2.5e-09	3.1e-09	-	-	-	-	-	-	-	-
CP020941.1	-	-	-	-	-	-	-	-	-	-	-	-	B2J90_30695	-	1.8e-11	2.3e-11	-	-	-	-	-	-	-	-
CP020941.1	-	-	-	-	-	-	-	-	-	-	-	-	B2J90_30695	-	9.7e-09	1.3e-08	-	-	-	-	-	-	-	-
CP020941.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020941.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29525	ARO21552.1	8.6e-132	9.7e-132	B2J90_29790	ARO21601.1	5.4e-13	2.2e-09	B2J90_29835	ARO21610.1	5e-114	5.5e-114	B2J90_29715	ARO21588.1	2.6e-22	4.3e-22	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29525	ARO21552.1	4.5e-14	4.5e-14	B2J90_29790	ARO21601.1	3.9e-45	1.4e-37	B2J90_29835	ARO21610.1	2e-06	2.7e-06	B2J90_29715	ARO21588.1	1.2e-40	1.4e-40	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	6.5e-06	6.5e-06	-	-	-	-	B2J90_29715	ARO21588.1	1.3e-19	2e-11	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29525	ARO21552.1	1.5e-09	5.5e-09	B2J90_29790	ARO21601.1	1.2e-20	9.6e-13	-	-	-	-	B2J90_29535	ARO21554.1	9.3e-25	2.7e-23	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	8e-22	3.5e-20	-	-	-	-	B2J90_29715	ARO21588.1	3.8e-16	2.8e-15	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29520	ARO21617.1	2.9e-10	3.5e-10	B2J90_29790	ARO21601.1	3.3e-11	3.3e-11	-	-	-	-	B2J90_29715	ARO21588.1	8.5e-45	9.8e-45	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29870	ARO21616.1	5.5e-05	6.6e-05	B2J90_29790	ARO21601.1	1.7e-08	1.7e-08	-	-	-	-	B2J90_29715	ARO21588.1	1.5e-13	2.2e-13	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	1.2e-14	1.2e-14	-	-	-	-	B2J90_29715	ARO21588.1	3e-13	3.4e-13	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29790	ARO21601.1	0.00051	0.00051	B2J90_29790	ARO21601.1	3.6e-48	1.9e-35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29525	ARO21552.1	7e-24	5.9e-23	B2J90_29790	ARO21601.1	5.1e-16	9.6e-14	-	-	-	-	B2J90_29715	ARO21588.1	6.3e-22	4.7e-21	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29870	ARO21616.1	2.8e-07	3.5e-07	B2J90_29790	ARO21601.1	1e-32	1.1e-21	-	-	-	-	B2J90_29715	ARO21588.1	3.1e-22	4.1e-22	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29520	ARO21617.1	2.5e-06	3.5e-06	B2J90_29790	ARO21601.1	2.8e-12	3.8e-05	-	-	-	-	B2J90_29715	ARO21588.1	7.5e-09	1.9e-08	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29790	ARO21601.1	8.6e-25	1e-13	B2J90_29790	ARO21601.1	2.4e-75	1.8e-25	-	-	-	-	B2J90_29535	ARO21554.1	2.9e-16	1.6e-11	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29525	ARO21552.1	2e-07	6e-07	B2J90_29790	ARO21601.1	1.8e-07	1.8e-07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29525	ARO21552.1	3.5e-16	4.7e-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	6.2e-06	6.2e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29520	ARO21617.1	7.2e-07	8.9e-07	B2J90_29790	ARO21601.1	4.2e-28	3e-21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29525	ARO21552.1	3.5e-19	3.5e-19	B2J90_29790	ARO21601.1	5.2e-08	8.3e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29790	ARO21601.1	3.5e-30	2.5e-18	B2J90_29790	ARO21601.1	7.3e-43	3.2e-31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29525	ARO21552.1	4.8e-28	1.1e-27	B2J90_29790	ARO21601.1	4.8e-39	2e-26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29520	ARO21617.1	7e-77	8.1e-77	B2J90_29790	ARO21601.1	4.2e-31	1.8e-16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29870	ARO21616.1	3.8e-39	4.2e-39	B2J90_29790	ARO21601.1	8.1e-21	8.6e-16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	B2J90_29520	ARO21617.1	0.00036	0.00055	B2J90_29790	ARO21601.1	1.2e-05	1.2e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	2.1e-18	1.4e-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	2.4e-72	2e-45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	1.3e-10	2.6e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	6.4e-09	6.4e-09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	3.3e-08	7.2e-08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	9.4e-18	9.4e-18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	6.1e-06	6.4e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	1.9e-35	1.3e-24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	6.1e-15	6.1e-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	0.00031	0.00031	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	1.1e-24	1.4e-10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	2e-52	8e-26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	5.9e-96	1.8e-75	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	1.2e-78	2.7e-72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	1.6e-60	5.8e-31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	1.1e-10	1.1e-10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	7.9e-23	7.9e-23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	2.8e-45	6.9e-31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	7.5e-25	2.7e-24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020939.1	-	-	-	-	B2J90_29790	ARO21601.1	1.4e-37	4.1e-24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020938.1	B2J90_29375	ARO21507.1	0.00023	0.0075	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B2J90_28365	ARO21338.1	1.2e-41	5.4e-34
CP020938.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020938.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP020938.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
